File name,Cluster 1,Cluster 2,HSV Cluster 1,HSV Cluster 2,Hue 0,Hue 1
crop_of0009.png,[ 0.  0. -0. -0.],[ 79.   0.  39. 255.],[[[0 0 0]]],[[[135 255  79]]],0,135
crop_of0010.png,[ 0.  0. -0.  0.],[  0. 105.  -0. 255.],[[[0 0 0]]],[[[ 60 255 105]]],0,60
crop_of0011.png,[ 0.  0. -0. -0.],[118.   0. 121. 255.],[[[0 0 0]]],[[[151 255 121]]],0,151
crop_of0012.png,[ 0. -0.  0. -0.],[  0.  62.   0. 255.],[[[0 0 0]]],[[[ 60 255  62]]],0,60
crop_of0019.png,[ 0. -0.  0. -0.],[  0.  31.   0. 255.],[[[0 0 0]]],[[[ 60 255  31]]],0,60
crop_of0021.png,[ 0.  0. -0.  0.],[  0.   0.  34. 255.],[[[0 0 0]]],[[[  0 255  34]]],0,0
crop_of0025.png,[ 0. -0.  0. -0.],[  0.  38.  37. 255.],[[[0 0 0]]],[[[ 31 255  38]]],0,31
crop_of0026.png,[ 0. -0.  0.  0.],[  0.  69.   0. 255.],[[[0 0 0]]],[[[ 60 255  69]]],0,60
crop_of0031.png,[0. 0. 0. 0.],[  0.  32.   0. 255.],[[[0 0 0]]],[[[ 60 255  32]]],0,60
crop_of0032.png,[0. 0. 0. 0.],[  0.  33.   0. 255.],[[[0 0 0]]],[[[ 60 255  33]]],0,60
crop_of0036.png,[ 0.  0.  0. -0.],[  0.   0.  34. 255.],[[[0 0 0]]],[[[  0 255  34]]],0,0
crop_of0046.png,[ 0.  0.  0. -0.],[  0.   0.  31. 255.],[[[0 0 0]]],[[[  0 255  31]]],0,0
crop_of0048.png,[0. 0. 0. 0.],[ 30.   0.   0. 255.],[[[0 0 0]]],[[[120 255  30]]],0,120
crop_of0049.png,[0. 0. 0. 0.],[ 41.  -0.   0. 255.],[[[0 0 0]]],[[[120 255  41]]],0,120
crop_of0050.png,[ 0.  0.  0. -0.],[ 53.  33.   0. 255.],[[[0 0 0]]],[[[101 255  53]]],0,101
crop_of0051.png,[-0.  0.  0.  0.],[ 82.  70.   0. 255.],[[[0 0 0]]],[[[ 94 255  82]]],0,94
crop_of0052.png,[ 0. -0.  0. -0.],[ 60.  52.   0. 255.],[[[0 0 0]]],[[[ 94 255  60]]],0,94
crop_of0053.png,[ 0.  0. -0. -0.],[ 76.  64.  -0. 255.],[[[0 0 0]]],[[[ 95 255  76]]],0,95
crop_of0054.png,[-0.  0. -0.  0.],[ 84.  76.  -0. 255.],[[[0 0 0]]],[[[ 93 255  84]]],0,93
crop_of0055.png,[ 0. -0. -0.  0.],[101.  94.   0. 255.],[[[0 0 0]]],[[[ 92 255 101]]],0,92
crop_of0056.png,[-0.  0. -0. -0.],[ 47.  32.   0. 255.],[[[0 0 0]]],[[[100 255  47]]],0,100
crop_of0057.png,[ 0. -0.  0. -0.],[ 49.  24.   1. 255.],[[[0 0 0]]],[[[106 250  49]]],0,106
crop_of0058.png,[-0.  0.  0. -0.],[ 51.  41.   4. 255.],[[[0 0 0]]],[[[ 96 235  51]]],0,96
crop_of0059.png,[-0. -0.  0. -0.],[ 54.  42.   6. 255.],[[[0 0 0]]],[[[ 98 227  54]]],0,98
crop_of0060.png,[-0. -0. -0.  0.],[ 52.  36.   3. 255.],[[[0 0 0]]],[[[100 240  52]]],0,100
crop_of0061.png,[ 0.  0. -0.  0.],[ 48.  31.  10. 255.],[[[0 0 0]]],[[[103 202  48]]],0,103
crop_of0062.png,[-0. -0.  0.  0.],[ 51.   1.  59. 255.],[[[0 0 0]]],[[[154 251  59]]],0,154
crop_of0063.png,[ 0.  0. -0.  0.],[ 37.   1.  45. 255.],[[[0 0 0]]],[[[155 249  45]]],0,155
crop_of0064.png,[-0. -0.  0. -0.],[ 63.   3.  56. 255.],[[[0 0 0]]],[[[147 243  63]]],0,147
crop_of0065.png,[-0. -0. -0.  0.],[ 93.  -0.  56. 255.],[[[0 0 0]]],[[[138 255  93]]],0,138
crop_of0066.png,[ 0.  0. -0. -0.],[ 79. 127.   0. 255.],[[[0 0 0]]],[[[ 79 255 127]]],0,79
crop_of0067.png,[ 0.  0. -0.  0.],[ 98. 203.   0. 255.],[[[0 0 0]]],[[[ 74 255 203]]],0,74
crop_of0068.png,[ 0. -0.  0. -0.],[ 48. 134.   0. 255.],[[[0 0 0]]],[[[ 71 255 134]]],0,71
crop_of0069.png,[-0.  0. -0. -0.],[  1.  39.   2. 255.],[[[0 0 0]]],[[[ 59 248  39]]],0,59
crop_of0070.png,[-0. -0.  0.  0.],[  8.  29.  87. 255.],[[[0 0 0]]],[[[  8 232  87]]],0,8
crop_of0071.png,[-0.  0.  0. -0.],[  0.  45.  92. 255.],[[[0 0 0]]],[[[ 15 255  92]]],0,15
crop_of0072.png,[ 0. -0. -0.  0.],[ 30.  12.  71. 255.],[[[0 0 0]]],[[[171 212  71]]],0,171
crop_of0073.png,[ 0.  0. -0.  0.],[ 20.  22.  71. 255.],[[[0 0 0]]],[[[  1 183  71]]],0,1
crop_of0074.png,[-0. -0.  0. -0.],[  0. 113. 164. 255.],[[[0 0 0]]],[[[ 21 255 164]]],0,21
crop_of0075.png,[ 0.  0.  0. -0.],[ 23.  14.  73. 255.],[[[0 0 0]]],[[[175 206  73]]],0,175
